                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.80597,                 1.2146,                 1.1685,                0.36846,                0.27273,                0.27721,                0.19524,                 1.7924,                 2.2259,                 2.2201,               0.006733,               0.006733,               0.006733
                     68,                0.77531,                 1.2178,                 1.1748,                0.53695,                0.54545,                0.42925,                0.24638,                 1.5568,                 2.0683,                 2.1993,              0.0066835,              0.0066835,              0.0066835
                     69,                0.73132,                 1.1591,                 1.0875,                0.71183,                0.45455,                0.51082,                0.26145,                  1.713,                 2.0828,                  2.294,               0.006634,               0.006634,               0.006634
                     70,                0.73004,                 1.1544,                 1.0766,                0.65414,                0.34656,                0.39058,                  0.236,                 1.7505,                 2.3975,                 2.3349,              0.0065845,              0.0065845,              0.0065845
                     71,                0.81095,                 1.2542,                 1.1549,                0.89485,                0.36364,                0.45831,                0.27711,                 1.7836,                 2.1917,                 2.1942,               0.006535,               0.006535,               0.006535
                     72,                0.86182,                  1.253,                 1.1467,                0.64414,                0.33292,                0.38554,                0.28684,                 1.9124,                 2.2328,                 2.0359,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.8996,                 1.2896,                 1.2318,                0.96292,                0.36364,                0.46346,                0.31462,                 1.9764,                 2.1106,                 2.0577,               0.006436,               0.006436,               0.006436
                     74,                0.83128,                 1.2421,                  1.185,                0.51922,                0.45455,                0.49583,                0.27686,                 1.5291,                 2.1935,                 1.6792,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.8338,                 1.2144,                  1.114,                0.63978,                0.36364,                0.36989,                0.30229,                  1.728,                 2.0339,                 1.8943,               0.006337,               0.006337,               0.006337
                     76,                0.78575,                 1.1315,                 1.1473,                 0.9741,                0.27273,                0.31592,                0.29079,                 1.5926,                 2.2453,                 2.0116,              0.0062875,              0.0062875,              0.0062875
                     77,                0.82085,                 1.1815,                   1.23,                0.79375,                0.36364,                0.37029,                0.29974,                 1.7164,                 2.1282,                  1.717,               0.006238,               0.006238,               0.006238
                     78,                0.77141,                   1.24,                 1.1684,                0.41254,                0.51229,                0.37807,                0.27259,                 1.5246,                 2.2985,                  1.735,              0.0061885,              0.0061885,              0.0061885
                     79,                0.82924,                 1.2473,                 1.1888,                      1,                0.26721,                0.50764,                0.33051,                 1.6768,                 2.1702,                 1.9813,               0.006139,               0.006139,               0.006139
                     80,                0.80146,                  1.202,                  1.178,                0.53417,                0.45455,                 0.5343,                0.35255,                  1.706,                 2.0694,                 2.0997,              0.0060895,              0.0060895,              0.0060895
                     81,                0.89613,                 1.3928,                 1.2898,                0.70001,                 0.6364,                0.79192,                0.48179,                 1.2034,                 2.0038,                 1.8201,                0.00604,                0.00604,                0.00604
                     82,                0.86377,                 1.1549,                 1.1847,                0.60957,                0.63636,                0.58794,                0.39973,                 1.5299,                 1.8658,                 2.1782,              0.0059905,              0.0059905,              0.0059905
                     83,                0.72628,                   1.14,                 1.1457,                0.22997,                0.54545,                0.28677,                0.22004,                 1.7282,                 2.5849,                 2.3506,               0.005941,               0.005941,               0.005941
